ID,Label,R,G,B,A
1,V1F,0,0.5,0.4,1
2,V1PF,0.142857142857143,0.571428571428571,0.4,1
3,MT,0.285714285714286,0.642857142857143,0.4,1
4,LIP_AIP,0.428571428571429,0.714285714285714,0.4,1
5,FST,0.571428571428571,0.785714285714286,0.4,1
6,V4,0.714285714285714,0.857142857142857,0.4,1
7,TEO,0.857142857142857,0.928571428571429,0.4,1
8,TEad,1,1,0.4,1
