sortedClust Var2
1 001a
1 005a
1 008a
1 015b
1 019a
1 022a
1 025a
1 034b
1 036b
1 039a
1 047a
1 050a
2 027a
2 030a
2 031b
2 032b
2 040a
2 063a
3 022b
3 026b
3 030b
3 031a
3 033b
3 035a
3 037c
3 041a
3 044b
3 055a
3 059a
4 003a
4 004b
4 011a
4 011b
4 013a
4 015a
4 020b
4 030c
4 054a
4 056a
4 060a
5 033a
5 036a
5 037a
5 061a
6 002a
6 003b
6 004a
6 037b
6 042a
6 044a
6 045a
6 049a
7 008b
7 016a
7 020a
7 034a
7 042b
7 054b
8 014a
8 025b
8 029a
8 032a
8 052a
8 057a
8 058a
8 062a
