ID	Label	R	G	B	A
1	PO	0	0.5	0.4	1
2	PA	0.142857142857143	0.571428571428571	0.4	1
3	AM	0.285714285714286	0.642857142857143	0.4	1
4	AF	0.428571428571429	0.714285714285714	0.4	1
5	AL	0.571428571428571	0.785714285714286	0.4	1
6	MF	0.714285714285714	0.857142857142857	0.4	1
7	ML	0.857142857142857	0.928571428571429	0.4	1
8	PL	1	1	0.4	1
