sortedClust Var2
1 027a
1 030a
1 031b
1 032b
1 040a
1 063a
2 003a
2 004b
2 011a
2 011b
2 013a
2 015a
2 020b
2 030c
2 054a
2 056a
2 060a
3 022b
3 026b
3 030b
3 031a
3 033b
3 035a
3 037c
3 041a
3 044b
3 055a
3 059a
4 002a
4 003b
4 004a
4 037b
4 042a
4 044a
4 045a
4 049a
5 014a
5 025b
5 029a
5 032a
5 033a
5 036a
5 037a
5 057a
5 058a
5 061a
5 062a
6 008b
6 016a
6 020a
6 034a
6 042b
6 054b
7 001a
7 005a
7 008a
7 015b
7 019a
7 022a
7 025a
7 034b
7 036b
7 039a
7 047a
7 050a
7 052a
