sortedClust Var2
1 011b
1 026b
1 030b
1 030c
2 002a
2 003b
2 004a
2 037b
2 042a
2 044a
2 045a
2 049a
3 033a
3 036a
3 037a
3 061a
4 001a
4 005a
4 008a
4 015b
4 019a
4 025a
4 034b
4 036b
4 039a
4 050a
5 013a
5 031a
5 033b
5 035a
5 044b
6 027a
6 030a
6 031b
6 032b
6 040a
6 063a
7 022a
7 022b
7 037c
7 041a
7 047a
7 055a
7 059a
8 014a
8 025b
8 029a
8 032a
8 052a
8 057a
8 058a
8 062a
9 003a
9 004b
9 011a
9 015a
9 020b
9 054a
9 056a
9 060a
10 008b
10 016a
10 020a
10 034a
10 042b
10 054b
