sortedClust Var2
1 001a
1 002a
1 003b
1 004a
1 005a
1 008a
1 013a
1 015b
1 019a
1 022a
1 022b
1 025a
1 031a
1 033b
1 034b
1 035a
1 036b
1 037b
1 037c
1 039a
1 041a
1 042a
1 044a
1 044b
1 045a
1 047a
1 049a
1 050a
1 055a
1 059a
2 011b
2 026b
2 027a
2 030a
2 030b
2 031b
2 032b
2 040a
2 063a
3 014a
3 025b
3 029a
3 032a
3 033a
3 036a
3 037a
3 052a
3 057a
3 058a
3 061a
3 062a
4 003a
4 004b
4 008b
4 011a
4 015a
4 016a
4 020a
4 020b
4 030c
4 034a
4 042b
4 054a
4 054b
4 056a
4 060a
